Date,State,Cured,Deaths,Confirmed
27/04/20,Andaman and Nicobar Islands,11,0,33
26/03/20,Andaman and Nicobar Islands,0,0,1
27/03/20,Andaman and Nicobar Islands,0,0,1
28/03/20,Andaman and Nicobar Islands,0,0,6
29/03/20,Andaman and Nicobar Islands,0,0,9
30/03/20,Andaman and Nicobar Islands,0,0,9
31/03/20,Andaman and Nicobar Islands,0,0,10
01/04/20,Andaman and Nicobar Islands,0,0,10
02/04/20,Andaman and Nicobar Islands,0,0,10
03/04/20,Andaman and Nicobar Islands,0,0,10
04/04/20,Andaman and Nicobar Islands,0,0,10
05/04/20,Andaman and Nicobar Islands,0,0,10
06/04/20,Andaman and Nicobar Islands,0,0,10
07/04/20,Andaman and Nicobar Islands,0,0,10
08/04/20,Andaman and Nicobar Islands,0,0,10
09/04/20,Andaman and Nicobar Islands,0,0,11
10/04/20,Andaman and Nicobar Islands,0,0,11
11/04/20,Andaman and Nicobar Islands,0,0,11
12/04/20,Andaman and Nicobar Islands,10,0,11
13/04/20,Andaman and Nicobar Islands,10,0,11
14/04/20,Andaman and Nicobar Islands,10,0,11
15/04/20,Andaman and Nicobar Islands,10,0,11
16/04/20,Andaman and Nicobar Islands,10,0,11
17/04/20,Andaman and Nicobar Islands,10,0,11
18/04/20,Andaman and Nicobar Islands,11,0,12
19/04/20,Andaman and Nicobar Islands,11,0,14
20/04/20,Andaman and Nicobar Islands,11,0,15
21/04/20,Andaman and Nicobar Islands,11,0,16
22/04/20,Andaman and Nicobar Islands,11,0,17
23/04/20,Andaman and Nicobar Islands,11,0,18
24/04/20,Andaman and Nicobar Islands,11,0,22
25/04/20,Andaman and Nicobar Islands,11,0,27
26/04/20,Andaman and Nicobar Islands,11,0,33
27/04/20,Andaman and Nicobar Islands,11,0,33
28/04/20,Andaman and Nicobar Islands,11,0,33
29/04/20,Andaman and Nicobar Islands,15,0,33
30/04/20,Andaman and Nicobar Islands,15,0,33
01/05/20,Andaman and Nicobar Islands,16,0,33
02/05/20,Andaman and Nicobar Islands,16,0,33
03/05/20,Andaman and Nicobar Islands,17,0,33
04/05/20,Andaman and Nicobar Islands,32,0,33
05/05/20,Andaman and Nicobar Islands,32,0,33
