Sl. No.,District,LSGs needing special attention,Containment Zones - ward
1,Kannur,Aalakkod,"5 (Sub-ward), 19"
2,Kannur,Chapparappadavu,6 (Sub-ward)
3,Kannur,Chirakkal,"1,23 (Sub-ward)"
4,Kannur,Chittaripparamba,"4, 13"
5,Kannur,Irikkoor,2
6,Kannur,Iritty (M),32
7,Kannur,Kadannappalli-Panappuzha,10 (Sub-ward)
8,Kannur,Kannur (C),"15, 20,31,38, 42, 48, 51, 52, 53 (Sub-wards)"
9,Kannur,Karumathoor,"2 (Sub-ward),10"
10,Kannur,Panoor,"3, 22, 26, 33"
11,Kannur,Kolacherri,5 (Sub-ward)
12,Kannur,Koothuparamba (M),"11, 14, 22, 25"
13,Kannur,Kottayam-Malabar,1
14,Kannur,Madai,7 (Sub-ward)
15,Kannur,Mattannur (M),"4, 6, 7, 25, 28"
16,Kannur,Mattool,9
17,Kannur,Mokeri,"5 (Sub-ward),12"
18,Kannur,Munderi,11
19,Kannur,Muzhappilangad,"2, 10"
20,Kannur,Patyam,9
21,Kannur,Pappinissery,16
22,Kannur,Payyannur (M),31
23,Kannur,Peralaserry,"6, 12 (Sub-ward)"
24,Kannur,Ramanthali,"10, 11 (Sub-ward)"
25,Kannur,Sreekandapuram (M),26 (Sub-ward)
26,Kannur,Thalasheery (M),"24, 26 (Sub-ward)"
27,Kannur,Pinarayi,"5, 9"
28,Kannur,Kottiyoor,11
29,Kannur,Karivellur-Peralam,4
30,Kannur,Cherukunnu,"1,12"
31,Kannur,Peringome-Vyakkara,"7,12"
32,Kannur,Chembilode,"13,15"
33,Kannur,Kathiroor,"4, 6, 18"
34,Kannur,Kolayad,"5, 6, 14"
35,Kannur,Maloor,"3,12"
36,Kannur,Thillankeri,10
37,Kannur,Chokli,5
38,Kannur,Ezhom,7
39,Kannur,Thaliparamba (M),34
40,Kannur,Mayyil,11
41,Kannur,Kadamboor,3
42,Kannur,Keezhallur,3
43,Kannur,Kuttiattur,13
44,Kannur,Kunnothuparamba,15
45,Kasargode,Ajanur,"4,13,18, 20"
46,Kasargode,Chemnad,"7,13"
47,Kasargode,Chengala,"6,13,16,17,20"
48,Kasargode,Cheruvathur,"3, 9"
49,Kasargode,Kanhangad (M),"29,35,37, 39, 40,43"
50,Kasargode,Karadka,"4,10,14"
51,Kasargode,Kasargod (M),14
52,Kasargode,Kodom Belur,"4, 7"
53,Kasargode,Kumbala,"3,14"
54,Kasargode,Madhur,7
55,Kasargode,Madikkai,"2,12"
